Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A804619,"6800 AUCKLAND DRIVE
AUSTIN 78749
(30.212431, -97.886379)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804619
A804621,"6800 AUCKLAND DRIVE
AUSTIN 78749
(30.212431, -97.886379)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804621
A802221,"3600 PRESIDENTIAL BOULEVARD
AUSTIN 78719
(30.202653, -97.667267)",Yes (come to the shelter),9/15/19,Dog,Chihuahua Shorthair,Cream,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A802221
A804622,"702 GRAND CANYON
AUSTIN 78752",Yes (come to the shelter),9/16/19,Dog,Boxer/Anatolian Shepherd,Brown/Tricolor,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804622
A804465,"1009 WEST DITTMAR ROAD
AUSTIN 78745
(30.185674, -97.801794)",Yes (come to the shelter),9/14/19,Dog,Labrador Retriever,Black,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804465
A804265,"7808 RIALTO BOULEVARD
AUSTIN 78735
(30.253671, -97.877721)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804265
A804490,"9005 BUBBLING SPRINGS
AUSTIN 78729
(30.44944, -97.780005)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Blue Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804490
A804266,"7808 RIALTO BOULEVARD
AUSTIN 78735
(30.253671, -97.877721)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Tortie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804266
A804485,"2324 EAST CESAR CHAVEZ STREET
AUSTIN 78702
(30.254887, -97.71823)",No (contact for more info),9/14/19,Dog,English Bulldog,Black/Tricolor,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804485
A804625,"EAST STASSNEY LANE
AUSTIN 78744",Yes (come to the shelter),9/16/19,Dog,Chihuahua Shorthair/Dachshund,White/Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804625
A804336,"15009 NUTTALL DRIVE78724
(30.254903, -97.578563)",Yes (come to the shelter),9/13/19,Dog,Anatolian Shepherd Mix,Brown/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804336
A804487,"2324 EAST CESAR CHAVEZ STREET
AUSTIN 78702
(30.254887, -97.71823)",No (contact for more info),9/14/19,Dog,English Bulldog,Blue/Tricolor,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804487
A804489,"TEACH RIDGE CENTER AUSTIN 78753
(30.378511, -97.675352)",Yes (come to the shelter),9/14/19,Dog,German Shepherd,Black/Tan,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804489
A804629,"NORTHLAND
AUSTIN 78731",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804629
A804264,"7105 NORTH INTERSTATE HIGHWAY
AUSTIN 78752",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Tortie,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804264
A797407,"EAST WILLIAM CANNON DRIVE
AUSTIN 78744",Yes (come to the shelter),9/15/19,Dog,German Shepherd/Chinese Sharpei,Tricolor,Neutered Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A797407
A804339,"305 REGATTA COURT
AUSTIN 78734
(30.36786, -97.973501)",Yes (come to the shelter),9/13/19,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804339
A804349,"9442 CAPITAL OF TEXAS HIGHWAY
AUSTIN 78759
(30.38848, -97.751695)",Yes (come to the shelter),9/13/19,Dog,Australian Kelpie Mix,Brown/Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804349
A804341,"6702 RIPPLE RUN
AUSTIN 78744
(30.181115, -97.753262)",Yes (come to the shelter),9/13/19,Dog,Pit Bull,White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804341
A804206,"1325 S FM
AUSTIN 78725",Yes (come to the shelter),9/11/19,Dog,German Shepherd,Black/Brown,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804206
A804215,"MANOR 78653
(30.345865, -97.531473)",Yes (come to the shelter),9/11/19,Dog,Labrador Retriever,Black,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804215
A804552,"16001 FAGERQUIST ROAD78617
(30.13995, -97.589338)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Calico,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804552
A804553,"16001 FAGERQUIST ROAD78617
(30.13995, -97.589338)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Calico,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804553
A804554,"16001 FAGERQUIST ROAD78617
(30.13995, -97.589338)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Brown Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804554
A804555,"16001 FAGERQUIST ROAD78617
(30.13995, -97.589338)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,White/Gray,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804555
