,lon,lat,addresses,LooksLike
182,30.160173,-97.826054,10640 MARSHITAHS WAY,Domestic Shorthair Mix
183,30.210165,-97.852888,4704 SALOMA DRIVE,Chow Chow
184,30.160173,-97.826054,10640 MARSHITAHS WAY,Domestic Shorthair Mix
185,,,12343 HUNTERS,Dachshund/Chihuahua Shorthair
186,30.197188,-97.761024,1800 EAST STASSNEY LANE,Pointer
187,30.186848,-97.894789,6601 NEEDHAM LANE,Domestic Shorthair
188,,,FLORADALE DRIVE,Pit Bull Mix
189,30.185674,-97.801794,1009 WEST DITTMAR ROAD,Labrador Retriever
190,,,183 AND LAKELINE BOULEVARD,Pointer
191,,,SUNNY HILLS DRIVE,Rat Terrier
192,,,5300 TX,German Shepherd
193,30.543343,-97.941121,23081 NAMELESS78641,Domestic Shorthair Mix
194,30.543343,-97.941121,23081 NAMELESS78641,Domestic Shorthair Mix
195,30.223009,-97.66425,1308 THORNBERRY,Old English Sheepdog
196,30.418658,-97.89612,7200 COMANCHE TRAIL,German Shepherd
197,,,8714 FARM,Chihuahua Shorthair
198,30.210165,-97.852888,4704 SALOMA DRIVE,Chow Chow
199,,,GUNTER STREET,Miniature Pinscher
200,30.160173,-97.826054,10640 MARSHITAHS WAY,Domestic Shorthair Mix
201,30.212431,-97.886379,6800 AUCKLAND DRIVE,Domestic Shorthair
202,30.212431,-97.886379,6800 AUCKLAND DRIVE,Domestic Shorthair
203,30.384311,-97.706726,KRAMER ROAD MACMORA LANE AUSTIN 78758,Chihuahua Longhair
204,30.212431,-97.886379,6800 AUCKLAND DRIVE,Domestic Shorthair
205,30.212431,-97.886379,6800 AUCKLAND DRIVE,Domestic Shorthair
206,30.202653,-97.667267,3600 PRESIDENTIAL BOULEVARD,Chihuahua Shorthair
207,,,702 GRAND CANYON,Boxer/Anatolian Shepherd
208,30.185674,-97.801794,1009 WEST DITTMAR ROAD,Labrador Retriever
209,30.253671,-97.877721,7808 RIALTO BOULEVARD,Domestic Shorthair
210,30.44944,-97.780005,9005 BUBBLING SPRINGS,Domestic Shorthair
211,30.253671,-97.877721,7808 RIALTO BOULEVARD,Domestic Shorthair
212,30.254887,-97.71823,2324 EAST CESAR CHAVEZ STREET,English Bulldog
213,,,EAST STASSNEY LANE,Chihuahua Shorthair/Dachshund
214,30.254903,-97.578563,15009 NUTTALL DRIVE78724,Anatolian Shepherd Mix
215,30.254887,-97.71823,2324 EAST CESAR CHAVEZ STREET,English Bulldog
216,30.378511,-97.675352,TEACH RIDGE CENTER AUSTIN 78753,German Shepherd
217,,,NORTHLAND,Domestic Shorthair
218,,,7105 NORTH INTERSTATE HIGHWAY,Domestic Shorthair
219,,,EAST WILLIAM CANNON DRIVE,German Shepherd/Chinese Sharpei
220,30.36786,-97.973501,305 REGATTA COURT,Domestic Shorthair
221,30.38848,-97.751695,9442 CAPITAL OF TEXAS HIGHWAY,Australian Kelpie Mix
222,30.181115,-97.753262,6702 RIPPLE RUN,Pit Bull
223,,,1325 S FM,German Shepherd
224,30.345865,-97.531473,MANOR 78653,Labrador Retriever
225,30.13995,-97.589338,16001 FAGERQUIST ROAD78617,Domestic Shorthair
226,30.13995,-97.589338,16001 FAGERQUIST ROAD78617,Domestic Shorthair
227,30.13995,-97.589338,16001 FAGERQUIST ROAD78617,Domestic Shorthair
228,30.13995,-97.589338,16001 FAGERQUIST ROAD78617,Domestic Shorthair
